skill,skill_aliases
accommodate cargo in freight transport vehicle,accommodate cargo in cargo transport vehicle|accommodate freight in cargo transport vehicle|accommodate freight in freight transport vehicle|arrange cargo in freight transport vehicle|ensure cargo is arranged appropriately in freight transport vehicle|ensure cargo is positioned correctly in freight transport vehicle|ensure correct positioning of cargo in freight transport vehicles|ensure correct positioning of freight in cargo transport vehicles|ensure freight is arranged appropriately in cargo transport vehicles|ensure freight is positioned correctly in cargo transport vehicle|position cargo in freight transport vehicle|position freight in cargo transport vehicle
accommodate special seating,accommodate special seats|cater for special seating arrangements|meet special seating requests
accompany people,accompanying people|escort people|go with people|travel with people
accounting,bookkeeping
accounting department processes,accounting department procedures|accounting processes|accounts department processes
accounting entries,account entries|accounting entry|accounting transactions|financial transactions records
accounting techniques,accounting approaches|accounting methods|accounting performance|accounting skills|accounting technique|techniques of accounting
accurately estimate work hours,accurately estimate labour hours|accurately estimate man hours|assess human resources required to successfully complete a task|assess work hours required to successfully complete a task|estimate labour hours accurately|estimate man hours accurately|estimate required human resources to complete a task|estimate work hours accurately|make an estimate of work hours required to successfully complete a task|predict work hours required to successfully complete a task
accurise guns,accurise gun|accurising guns|improve accuracy of guns|make guns more accurate
achieve sales targets,achieve sales target|achieve target sales|meet sales goals|reach sales targets
acoustical engineering,acoustic engineering|acoustical engineering analyses|acoustical engineering analysis|acoustical engineering applications|acoustical engineering fieldwork|acoustical engineering research|acoustical engineering studies|acoustical engineering work|engineering for acoustics
acoustics,acoustic sounds|amplification|hearing|knowledge of acoustics|noises|sounds|understand acoustics
acquire antique items,acquire an antique item|acquiring antique items|acquisition of antique items|amass antique items|collect antique items|gain antique items|pick up antique items
acquire licences for the use of weapons,acquire licence to use weapons|acquire licenses for the use of weapons|acquire weapons' licences|obtain authorisation for the use of weapons|obtain permit for the use of weapons
acquire license for selling tobacco products,acquire a license for selling tobacco products|acquire licenses for selling a tobacco product|acquiring a license for selling tobacco products|amass license for selling tobacco products|collect license for selling tobacco products|gain license for selling tobacco products|pick up license for selling tobacco products
acquire system component,obtain system component|procure system component
act as a resource person in dance,act as a dance expert|act as an expert consultant in dance|act as an expert dance consultant|cover the role of dance resource person|cover the role of resource person in dance|provide consultancy for dance|provide dance consultancy
act as contact person during equipment incident,be the contact person during equipment incident|be the contact person during investigation|engage as a contact person during investigation|play the role of a contact person during investigation|play the role of contact person during equipment damage|take responsibility as a contact person during incident
act discreetly,acting discreetly|behave discreetly|comport oneself discreetly|conduct oneself discreetly|perform discreetly
act for an audience,act for audiences|acting for an audience|perform for an audience|play a part for an audience|play-act for an audience
act reliably,act in a reliable way|acting reliably|be dependable|be reliable
act with a high level of safety awareness,act with comprehensive awareness of safety issues|have a high level of safety awareness|have awareness of safety issues|maintain a high level of safety awareness|operate with a comprehensive understanding of safety issues|operate with comprehensive awareness of safety issues|possess a high level of safety awareness|retain a high level of safety awareness|work with a full appreciation of safety issues|work with extensive awareness of safety issues
acting techniques,acting methods|acting practices|acting procedures|acting technique
action research,action inquiry|action investigation
activemq,
actuarial science,actuarial sciences|bookkeeping science|scientific financial analysis
acupressure,acupuncture using physical pressure|knowledge of acupressure|pricinciples of acupuncture using physical pressure|principles of acupressure
acupuncture methods,acupuncture method|acupuncture technique|acupuncture techniques|methods used in acupuncture
acute care,acute medicine|care for patients with an urgent medical condition|care in acute phase of illness|secondary health care|short term care
adapt a script,adapt a film script|adapt a play|adapt a written text|modify a script|reorganise a script|reorganize a script|restructure a script|rewrite a script
adapt artistic plan to location,adapt artist's perspective to the location|adapt artist's plan to location|adapt artistic concept to location|adapt artistic plan to the location
adapt communication style according to recipient,adapt communication style according to target audience|adapt style of communication according to recipient|adjust communication style according to target audience|adjust style of communication according to recipient|change style of communication according to target audience|develop rapport with recipient by adapting style of communication|develop rapport with target audience by adjusting communication style|develop rapport with target audience by adjusting style of communication
adapt costumes,adapt costume|adapting costumes|alter costumes|modify costumes|rework costumes
adapt designers’ work to the performance venue,adapt designers' work to venue of performance|adapt the work of all involved to the performance venue|adapt work of designers to the performance venue|modify designers' work according to performance location
adapt developed game to the market,adapt game development to the market|adapt gaming developments to the market|adjust new game developments to the market|implement new game innovations on the market
adapt efficient food processing practices,adapt an efficient food processing practice|adapting efficient food processing practices|alter efficient food processing practices|amend efficient food processing practices|review efficient food processing practices|vary efficient food processing practices
adapt energy distribution schedules,adapting energy distribution schedules|energy distribution schedule adapting|energy distribution schedule modifying|energy distribution schedules adapting|energy distribution schedules modifying|modify energy distribution schedules|modifying energy distribution schedules
adapt evaluation methodology,adjust evaluation methodology|adjust evaluation methods|monitor evaluation methodology
adapt existing designs to changed circumstances,adapt existing designs to changing circumstances|adapt existing designs to circumstances that changed|modify designs according to changed circumstances|vary existing designs to circumstances that changed
adapt fighting techniques for performance,adapt fight techniques to performance|adapt fighting techniques to fit context|adapt techniques of fighting for performance|change fighting techniques according to performance
adapt fitness exercises,adapt exercises of fitness|adapt physical activities|adapting fitness exercises|personalise fitness exercises
adapt hearing tests,adapt hearing test|adjust hearing tests|alter hearing tests to suit patient's abilities|modify hearing tests
adapt leadership styles in healthcare,adapt styles of leadership|change leadership styles according to the situation|use different leadership styles
adapt lifestyle for sports performance,adapt lifestyle to perform at the highest level in sport|adapt lifestyle to perform sports at highest levels|implement an adapted lifestyle to perform at the highest level in sport|perform sports at the highest level adapting lifestyle|plan lifestyle around performing sports at the highest levels
adapt pilates exercises,amend pilates movements|modify the pilates regime
adapt production levels,adapt levels of production|adapt the levels of production|alter production levels|amend production levels|review production levels|vary production level
adapt props,adapt the props|adapting props|change props|modify props
adapt sets,adapting sets|adjust sets|convert sets|remodel sets
adapt teaching to student's capabilities,adapting teaching to student's capabilities|adapts teaching to student's capabilities|adjust teaching to student's capabilities|modify teaching to student's capabilities
adapt teaching to target group,adapting teaching to target group|adapts teaching target group|adjust teaching to target group|modify teaching to target group
adapt text culturally,adapt text to culture|adapting text to culture|adjust text culturally|alter text culturally|culturally adapt text|modify text culturally
adapt to acting roles,adapt to different role|adapt to different roles|adapting to different roles|adjust to different roles|be open to taking on different roles|become habituated to different roles
adapt to artists' creative demands,adapt to artists' creative vision|adapt to creative demands of artists|adapt to demands by creative artists|meet demands by creative artists
adapt to change,adapt to changes|adapting to change|adjust to change|assimilate to change|be flexible|be open to change|conform to change|demonstrate flexibility|openness to change|revise plans to deal with changes|show willingness to change
adapt to change in marketing,adapt to a change in marketing|adapt to changes in marketing|adapting to change in marketing|adjust to changes in marketing|alter to changes in marketing|modify a change in marketing|revise a change in marketing
adapt to changes in forestry,adapt to forestry changes|adapting to changes in forestry|adapting to changes in forestry operations|adapting to forestry changes|adapting to operational changes in forestry|respond to changes in forestry|respond to forestry changes|responding to changes in forestry|responding to changes in forestry operations|responding to forestry changes|responding to operational changes in forestry
adapt to changes in technological development plans,adapt development activities of technological projects|adapt the design of technological projects|adapt to changes in strategies for technological projects|meet organisational needs for technological projects
adapt to changes on a boat,adapt to constant changes on a boat|adapting to changes on a boat|adapting to constant changes on a boat|deal with changes on a boat|deal with constant changes on a boat|dealing with changes on a boat|dealing with constant changes on a boat
adapt to changing situations,adapt to a changing situation|adapting to a changing situation|adapting to changing situations|adjust to changing situations|alter to changing situations|modify to changing situations|tailor to changing situations
adapt to different weather conditions,adapt to different climatic conditions|adapt to weather conditions|adjust to different climates|adjust to different climatic conditions|adjust to different weather conditions|operate in different climatic situations|operate in different weather conditions|operate in environments with extreme weather conditions|perform activities in extreme weather conditions|perform activities in various weather conditions
adapt to emergency care environment,adapt practice within emergency and urgentcare environment|adapt to emergency care environments|adjust to emergency care environments|conform to emergency care environment|modify practice to meet needs of emergency care
adapt to new design materials,adapt to new design material|adapt to new materials|adapting to new design materials|adjust to new design materials|be open to working with new design materials|become habituated to new design materials
adapt to new technology used in cars,adapt to new automobile technology|adapt to new technology in cars|adapt to new technology used in automobiles|adapt to the use of new car technology|adapt to the use of new technology in cars|adjust to developments in automobile technology|adjust to developments in car technology|adjust to technological developments in automobiles|adjust to technological developments in cars|be adaptable to new technology used in automobiles|be adaptable to new technology used in cars
adapt to type of media,adapt to media type|adapt to types of media|adapting to type of media|adjust to type of media|modify to type of media
adapt training to labour market,adapt instruction to labor market|adapt instruction to labour markets|adapting instruction to labour market|adapting instruction to labour markets|adjust instruction to labour market|modify instruction to labour market|update instruction to labour market
adapt voice register to the audio material,adapt voice register to audio|adapt voice to audio|adapt voice to the audio material|adjust voice register to the audio material|alter voice register to the audio material|modify voice register to the audio material
add chemicals to drilling fluid,adding chemicals to drilling fluid|adding of chemicals to drilling fluid|addition of chemicals to drilling fluid|chemical addition to drilling fluid|place chemicals into drilling fluid|put chemicals into drilling fluid|putting chemicals into drilling fluid
add coils to ceramic work,add coils in ceramic work|add coils to ceramics|enhance ceramic work by adding rolls of clay|use coils to create ceramic shapes
add colour,apply colour|applying colour|colour adding|colour applying
add computer components,add a computer component|adding computer components|affix computer components|append computer components|boost computer components|computer component addition|supplement computer components
add elocution techniques to recording audio materials,adding of elocution techniques to recording audio materials|include elocution techniques in recording audio materials|incorporate elocution techniques in recording audio materials|involve elocution techniques in recording audio materials
add paint hardeners,add paint hardener|append paint hardeners|supplement paint hardeners
add paint thinners,add diluent to paint|add thinners to paint|apply thinner to paint|employ thinners to paint|use paint thinners
add scent,add a scent|add perfume|add smell|adding scent
add slabs to ceramic work,add blocks of mud to ceramic work|add slabs to ceramic works|add slabs to clay work|adding slabs to ceramic work
address aircraft mechanical issues,address aircraft mechanical problems|address mechanical issues of aircraft|deal with aircraft mechanical issues|deal with aircraft mechanical problems|deal with mechanical issues of aircraft|handle aircraft mechanical issues|identify and resolve aircraft mechanical issues|identify and resolve aircraft mechanical problems|identify and resolve mechanical issues in aircraft|recognise and solve aircraft mechanical issues|recognise and solve aircraft mechanical problems|resolve aircraft mechanical problems
address an audience,address audiences|addressing an audience|deliver a speech|give a lecture to an audience|give a talk to an audience|lecture|present ideas|speak to an audience
address damage to paved surfaces in airports,analyse damage to airport paved surfaces and identify cost effective solutions|assess damage to airport paved surfaces and identify cost effective solutions|ensure damaged airport paved surfaces are effectively addressed|evaluate damage to airport paved services and identify appropriate solutions|implement solutions to fix airport paved surfaces|implement solutions to fix damaged paved surfaces in airports|take action to address damage to paved surfaces in airports|take appropriate action to address damage to airport paved surfaces|take appropriate action to address damage to paved surfaces in airports|take appropriate action to address damaged airport paved surfaces|take appropriate action to address damaged paved surfaces in airports|take suitable action to address damage to paved surfaces in airports
address gender-related issues in family planning counselling,address gender related issues in family planning counselling|address gender-related issues in family planning counseling|focus on gender-related issues in family planning counselling|give advice on gender-related topics in family planning counselling|inform client on gender-related issues in family planning
address identified risks,addressing identified risks|manage risk treatment|treat risks
address potential aerodrome hazards,act to ensure hazards do not endanger aerodrome safety|address aerodrome hazards|address potential hazards to aerodrome|conduct aerodrome hazard prevention activities|deal with aerodrome hazards|deal with potential aerodrome hazards|deal with potential hazards to aerodrome|handle potential aerodrome hazards|handle potential hazards to aerodrome|implement aerodrome hazard prevention activities|take action to address potential aerodrome hazards|take action to address potential dangers to aerodrome operations|take action to ensure hazards do not endanger aerodrome safety
address problems critically,addressing problems critically|critically address problems|critically addressing problems|think about problems critically|think critically about problems|thinking about problems critically|thinking critically about problems
address public health issues,address issues of public health|communicate public health issues|point out public health issues|promote healthy practices|promote public health
address side effects of menopause,address side effects of climacteric|address side effects of climacteric period|address side effects of the menopause|communicate side effects of menopause|convey information regarding side effects of menopause
adhere to health well-being and safety,adhere to health welfare and safety|adhere to health well-being and safety policy|adhere to health well-being and safety risks|adhere to health well-being and security|adhere to health wellbeing and safety|keep health well-being and safety policies|maintain health well-being and safety|retain health well-being and safety
adhere to ohsas 18001,abide by occupational health and safety assessment series 18001|abide by phsas 18001|adhere to occupational health and safety assessment series 18001|comply with the standards of occupational health and safety management systems|ensure compliance with standards of occupational health and safety management systems|follow occupational health and safety assessment series 18001|follow ohsas 18001|work according to occupational health and safety management system standards|work in accordance with standards of occupational health and safety management systems|work in compliance with occupational health and safety management system standards
adhere to organisational code of ethics,adhere to national and european professional code of ethics|adhere to organisational codes of ethics|adhere to organizational code of ethics|adhere to organizational codes of ethics|comply with organisational code of ethics|comply with organizational code of ethics|obey organisational code of ethics
adhere to organisational guidelines,adhere to an organisational guideline|adhere to an organisations guidelines|adhere to organizational guidelines|adhering to organisational guidelines|comply to organisational guidelines|heed organisational guidelines|obey organisational guidelines|observe organisational guidelines
adhere to questionnaires,adhere to questionnaire|adhering to questionnaires|comply with questionnaires|follow questionnaire format
adhere to standard operating procedures,adhere to battery standard procedures|adhere to sop|adhere to standard procedures|adhering to sop|adhering to standard operating procedures|adhering to standard procedures|follow sop|follow standard operating procedures|follow standard procedures|following sop|following standard operating procedures|following standard procedures
adhere to standards of national and international safety programmes,adhere to national and international safety standards|adhere to standards of national and international safety programs|apply national and international safety programme standards|apply national and international safety standards|comply with national and international safety standards|comply with standards of national and international safety programmes|employ standards of national and international safety programmes in the performance of work|follow national and international safety standards|follow standards of national and international safety programmes|work in accordance with national and international safety standards|work in compliance with national and international safety standards
adhere to the alara principle,apply the alara principle|comply with alara standards|implement the alara principle|implement the alara standards
adhere to traffic regulations on inland waterways,adhere to inland waterway traffic regulations|apply inland waterway traffic regulations|apply traffic regulations on inland waterways|comply with inland waterway traffic regulations|comply with traffic regulations on inland waterways|ensure compliance with inland waterway traffic regulations|ensure safety on inland waterways by adhering to regulations|ensure safety on inland waterways by following regulations|maintain compliance with inland waterway traffic regulations
adhere to transportation work schedule,adhere to transport work schedule|adhere to work schedule|follow transport work schedule|follow transportation work schedule|fulfil transportation work schedule|meet transportation work schedule|observe transportation work schedule|perform transportation work in accordance with schedule|perform work in accordance with transportation schedule|work to transportation work schedule
adhesives,adhesive types|contact adhesives|drying adhesives|hot adhesives|multi-part adhesives|non-reactice adhesives|one-part adhesives|pressure-sensitive adhesives|reactive adhesives|types of adhesive|typology of adhesives
adjust bag inside tyres,adjust bag inside tires|adjust curing bag|adjust curing bag inside tyres|adjusting bag inside tyres|adjusting curing bag|adjusting curing bag inside tyres|bag inside tyres adjusting
adjust burner controls,adjusting burner controls|burner control adjusting|burner controls adjusting|burner heat regulating|regulate burner heat|regulating burner heat
adjust clay burning level,adjusting clay burning level|change clay burning level|changing clay burning level|clay burning level adjusting|clay burning level changing
adjust clothes,adapt clothes|adjusting clothes|alter clothes|clothe adjustment|fix clothes|modify clothes|to adjust clothes
adjust cochlear implants,adjust a cochlear implant|adjust cochlear implant|adjust implant amplification system|fit cochlear implant|fit cochlear implants|tune cochlear implant|tune cochlear implants
adjust curing ovens,adjusting curing ovens|control curing ovens|controlling curing ovens|curing oven adjusting|curing oven controlling|curing ovens adjusting|curing ovens controlling
adjust cut sizes,adjust cut properties|adjust cut size and depth|adjust properties for cutting|adjust properties of cut|adjust properties of cutting tools
adjust cylinder valves,adjusting cylinder valves|cylinder valve adjusting|cylinder valve operating|cylinder valves adjusting|cylinder valves operating|operate cylinder valves|operating cylinder valves
adjust drying process to goods,adjust the drying process of goods|adjusting drying process of goods|alter drying process to goods|amend drying process to goods|change drying process to goods|vary drying process to goods
adjust engineering designs,adjust building designs|adjust construction designs|adjust desings for engineering|adjust engineering models|adjust engineering schemes|adjust manufacturing designs
adjust envelope cutting settings,adapt envelope cutting settings|change envelope cutting settings|modify envelope cutting settings|tweak envelope cutting settings
adjust eyeglasses,adjust eye-glasses to fit customers|adjust eyeglasses to fit customer|adjust eyeglasses to fit customers|fit eyeglasses|shape and bend eyeglass to fit customer|shape and bend eyeglasses to fit customers
adjust feeder tubes,adjusting feeder tubes|adjusting of feeder tubes|feeder tube adjusting|feeder tube installing|feeder tubes adjusting|feeder tubes installing|install feeder tubes|installing feeder tubes|installing of feeder tubes
adjust fermentation processes,adjusting fermentation processes|fermentation processes adjusting|scale down fermentation processes|scale up fermentation processes|scaling down fermentation processes|scaling up fermentation processes
adjust filament tension,adjusting filament tension|filament tension adjusting|filament tension optimising|optimise filament tension|optimising filament tension
adjust foil printing machine,adapt foil printing machine|adjust foil printing machines|adjusting foil printing machine|change foil printing machine|modify foil printing machine|tweak foil printing machine
adjust fold plates,adapt fold plates|adjust fold plate|adjusting fold plates|change fold plates|modify fold plates|tweak fold plates
adjust fuel prices in line with company procedures,adapt fuel prices in line with company procedures|adjust fuel prices in line with the company procedures|adjusting fuel prices in line with company procedures|adjustment of fuel prices in line with company procedures|alter fuel prices in line with company procedures|fix fuel prices in line with company procedures|modify fuel prices in line with company procedures
adjust glass sheets,adjusting glass sheets|change thickness of glass sheet|changing thickness of glass sheet|glass sheet adjusting|glass sheet thickness changing|glass sheets adjusting
adjust hearing aids,adjust a hearing aid|adjust hearing aid|fit hearing aid|fit hearing aids|tune hearing aid|tune hearing aids
adjust ict system capacity,adjust ict network capacity
adjust jewellery,adjust jewelry|adjusting jewellery|remodel jewellery|rework jewellery
adjust liquefaction temperature,adjusting liquefaction temperature|control liquefaction temperature|controlling liquefaction temperature|liquefaction temperature adjusting|liquefaction temperature controlling
adjust manufacturing equipment,adjusting manufacturing equipment|calibrate manufacturing equipment|calibrating manufacturing equipment|manufacturing equipment adjusting|manufacturing equipment calibrating
adjust measuring machines,adjusting measuring machines|calibrate measuring machines|calibrating measuring machines|measuring machine adjusting|measuring machine calibrating|measuring machines adjusting|measuring machines calibrating
adjust paper bag machine,adapt paper bag machine|adjust paper bag machines|adjusting paper bag machine|change paper bag machine|modify paper bag machine|tweak paper bag machine
adjust paper cutter,adapt paper cutter|adjust paper cutters|adjusting paper cutter|change paper cutter|modify paper cutter|tweak paper cutter
adjust paper stitching machine,adapt paper stitching machine|adjust paper stitching machines|adjusting paper stitching machine|change paper stitching machine|modify paper stitching machine|tweak paper stitching machine
adjust physiotherapy interventions,adjust physiotherapy intervention|alter physiotherapy intervention|alter physiotherapy interventions|change physiotherapy intervention|re-design physiotherapy interventions|re-evaluat physiotherapy intervention
adjust planer,adapt planer|adjust planers|adjusting planer|change planer|modify planer|tweak planer
adjust priorities,alter priorities|amend priorities|change priorities|make judgements about priorities according to changing circumstances|make judgements about priorities according to conditions|prioritise according to changing circumstances|prioritise in accordance with changing circumstances|revise priorities|shift priorities
adjust production schedule,adjust a production schedule|adjust production schedules|adjust production scheduling|alter production schedule|amend production schedule|change production schedule|vary production schedule
adjust projector,adjust projector's focus|adjust projector's lens focus|adjust the focus of a projector|adjust the focus of a projector's lens|fine-tune a projector's lens focus|focus projector's light beam|focus the light beam of a projector
adjust rolling slide,alter rolling slide|alter thread rolling machine die blocks|change rolling slide|change thread rolling machine die blocks|rolling slide variation|thread rolling machine die blocks variation|vary rolling slide|vary thread rolling machine die blocks
adjust rotogravure press,adapt rotogravure press|adjusting rotogravure press|change rotogravure press|modify rotogravure press|tweak rotogravure press
adjust scraper bars,adjusting scraper bars|calibrate scraper bars|calibrating scraper bars|scraper bar adjusting|scraper bar calibrating|scraper bars adjusting|scraper bars calibrating
adjust solutions' consistency,adjust consistency of solution|adjusting consistency of solution|adjusting solutions' consistency|change consistency of solution|change solutions' consistency|changing consistency of solution|changing solutions' consistency|solution consistency adjusting|solution consistency changing
adjust sporting equipment,adapt sporting equipment|adjust sports equipment|adjusting sporting equipment|adjusting sports equipment|alter sporting equipment|fix sporting equipment|modify sporting equipment
adjust surveying equipment,adjust survey equipment|adjusting surveying equipment|calibrate surveying equipment|configure surveying equipment|modify surveying equipment|set up surveying equipment
adjust temperature gauges,adapt temperature gauges|adjust a temperature gauge|adjust temperature gages|adjusting temperature gauges|alter temperature gauges|fix temperature gauges|modify temperature gauges|temperature gauge adjustment
adjust the performance to different environments,adapt performances to different environmental settings|adapt performances to various settings|adjust performances to a different environment|adjust performances to different environments
adjust the rubber machines,adjusting the rubber machines|rubber machine adjusting|rubber machine setting up|rubber machines adjusting|rubber machines setting up|set up the rubber machines|setting up the rubber machines
adjust the varnish mixture,adjusting of the varnish mixture|adjusting the varnish mixture|optimise the varnish mixture|optimising the varnish mixture|varnish mixture adjusting|varnish mixture optimising
adjust the work during the creative process,adjust the process of creative work|adjust the work throughout the creative process|amend the work to meet necessary requirements|make adjustments to the work in process
adjust the work to the venue,adapt work to the venue|adjust work according to the venue|adjusting work to the venue|amend the work to fit in with the venue
adjust tightness of engine parts,adjusting tightness of engine parts|adjustment of tightness of engine parts|adjustment to tightness of engine parts|alter tightness of engine parts|change tightness of engine parts|changing tightness of engine parts|tightness adjustment of engine parts|tightness alteration to engine parts
adjust tightness of pump components,adjust tightness of pump parts|adjusting of tightness of pump components|adjusting of tightness of pump parts|adjusting tightness of pump components|adjusting tightness of pump parts|adjustment of tightness of pump components|adjustment of tightness of pump parts|pump components tightness adjustment|pump parts tightness adjustment
adjust to physical demands,demonstrate physical resilience|tolerate unfavourable temperatures|work under adverse weather conditions
adjust video transmissions,adapt video transmissions|adjust video transmission|adjusting video transmissions|alter video transmissions|modify video transmissions
adjust voltage,adjusting voltage|change voltage|changing voltage|voltage adjusting|voltage changing
adjust vulcanizing machine,adjusting vulcanizing machine|control vulcanizing machine|controlling vulcanizing machine|vulcanizing machine adjusting|vulcanizing machine controlling
adjust weight of cargo to capacity of freight transport vehicles,adapt cargo weight to capacity of cargo transport vehicles|adapt weight of shipments to capacity of cargo transport vehicles|adapt weight of shipments to capacity of freight transport vehicles|adjust cargo weight to capacity of cargo transport vehicles|adjust weight of cargo to capacity of cargo transport vehicles|adjust weight of loads to capacity of freight transport vehicle|ensure cargo weights accord with load capacity of transport vehicles|ensure cargo weights do not overload freight vehicles|ensure shipments do not exceed load capacity of freight transport vehicles|match size and weight of shipments to freight transport vehicles with appropriate capacity|match weight and size of cargo to transport vehicles with appropriate capacity
administer additives to tobacco,administer an additive to tobacco|apply additives to tobacco|control additives to tobacco|organise additives to tobacco|utilise additives to tobacco
administer anaesthetics to patients,administer anaesthetic to patient|administer anaesthetics to ill people|administer anaesthetics to patients for surgery|administer anaesthetics to wounded people|administer anesthesia to patients|administer anesthetics to patients|give anaesthetics to patients|provide anaesthetics to patients
administer appointments,accept or cancel appointments|administer an appointment|develop cancellation policies|ensure proper appointment administration|ensure proper appointments administration|handle appointment administration|schedule an appointment|schedule appointments
administer chemicals for beverage clarification,administer a chemical for beverage clarification|administer of chemicals for beverage clarification|administering chemicals for beverage clarification|apply chemicals for beverage clarification|control chemicals for beverage clarification|organise chemicals for beverage clarification|utilise chemicals for beverage clarification
administer chemicals to starch production,administer a chemical to starch production|administer of chemicals to starch production|administering chemicals to starch production|apply chemicals to starch production|control chemicals to starch production|organise chemicals to starch production|utilise chemicals to starch production
administer contrast media,administer constrast agents|administer contrast agent|apply contrast agent|apply contrast media|inject contrast agent|inject contrast media|use and administer contrast agents|use contrast agent|use contrast media|utilize contrast agent|utilize contrast media
administer debtor's assets,administer borrower's assets|administer mortgagor's assets
administer drugs to facilitate breeding,administer special drugs to facilitate breeding|administer specific drugs to aid breeding|administer specific drugs to facilitate breeding|administer specific drugs to stimulate breeding|dispense specific drugs to facilitate breeding|provide specific drugs to facilitate breeding
administer exams,administer exam|administer examination|administer examinations|administering exams|oversee exams|proctor exams|supervise exams
administer hydrotherapy,administer hydrotherapies|formulate plans on hydrotherapy treatment|provide hydrotherapy
administer ict system,administer network and system|administer system|operate system
administer immunotherapy,administer biologic therapy|administer immunotherapy treatment|carry out immunotherapy|employ immunotherapy|perform immunotherapy
administer ingredients in food production,administer an ingredient in food production|administering ingredients in food production|administrate ingredients in food production|apply ingredients in food production|control ingredients in food production|organise ingredients in food production|utilise ingredients in food production
administer lactic ferment cultures to manufacturing products,administer lactic ferment cultures to a manufactured product|administer lactic ferment cultures to manufactured products|apply lactic ferment cultures to manufacturing products|control lactic ferment cultures to manufacturing products|organise lactic ferment cultures to manufacturing products|utilise lactic ferment cultures to manufacturing products
administer materials to tea bag machines,administer materials to a tea bag machine|administering materials to tea bag machines|apply materials to tea bag machines|control materials to tea bag machines|organise materials to tea bag machines|utilise materials to tea bag machines
administer medication for vision problems,administer medical treatment for vision problems|administer medication for vision problem|control medication for vision difficulties|control medication for vision limitations|control medication for vision problem|control medication for vision problems|control medication for vision restrictions|direct medication for vision problems|medicate people with vision problem
administer medication in emergency,administer emergency medication|administer medication in an emergency|administer medication in emergencies|give medication in an emergency
administer multi-modal logistics,administering multi-modal logistics|administration of multi-modal logistics|manage multi-modal logistics|multi-modal logistics administering|operate multi-modal logistics|organise multi-modal logistics|oversee multi-modal logistics
administer oaths,administer oath|administering oaths|conduct oaths|preside over oath taking
administer prescribed medication,administer medication|administer prescribed drugs|administer prescribed medicines|manage a person's medication|manage a person's medicines
administer radiation treatment,administer radiation therapy|apply medical imaging techniques for treatment|apply radiation therapy|apply radiation treatment|apply radiotherapy|conduct radiation treatment
administer radiopharmaceuticals,administer radiopharmaceutical|dispense radiopharmaceuticals|manage administration of radiopharmaceuticals
administer radiotherapy,administer radiotherapy to patients|manage patients undertaking radiotherapy|supervise patients undertaking radiography|supervise patients undertaking radiotherapy
administer spray tans,administer spray tan|administering spray tans|apply spray tans|give spray tans|spray on tans
administer tour contract details,check tour package conditions|handle contract tour details|handle details of tour contract|handle tour contract details|manage tour package contract details
administer treatment to animals,administer animal treatments|carry out animal treatments|carry out treatment of animals|deliver animal treatments|deliver treatment to animals|oversee the treatment of animals|perform animal treatments|provide animal treatments|provide treatment to animals|treat animals|use appropriate treatments for animals
administer treatments to fish,administering treatments to fish|give medicine to fish|giving medicine to fish|treat fish|treating fish|treatment administering to fish|vaccinate fish|vaccinating fish
administrative tasks in a medical environment,administative duties in medical environment|administration tasks related to the medical environment|administrative task in medical environment|administrative tasks in medical environment|administrative tasks of a medical practice|medical environment administrative tasks
admit basic metals to furnace,admission of basic metals to furnace|admission to furnace of basic metals|admitting basic metals to furnace|admitting of basic metals to furnace|place basic metals in furnace|placement of basic metals in furnace|placing basic metals in furnace|placing of basic metals in furnace
