skill,skill_aliases
adhesives,adhesive types|contact adhesives|drying adhesives|hot adhesives|multi-part adhesives|non-reactice adhesives|one-part adhesives|pressure-sensitive adhesives|reactive adhesives|types of adhesive|typology of adhesives
adobe creative suite,adobe creative cloud
adobe illustrator,adobe illustrator cc
adobe photoshop,adobe photoshop cc|adobe photoshop elements
adobe photoshop lightroom,adobe photoshop lightroom for 2d raster generation|adobe photoshop lightroom for 2d raster graphics generation|adobe photoshop lightroom for 2d vector graphics creation|adobe photoshop lightroom for 2d vector graphics generation|adobe photoshop lightroom for digital editing|adobe photoshop lightroom graphical ict tool
adolescence medicine,adolescence-focused medicine|medicine focusing on adolescents|topics related to adolescence|young adult medicine
adolescent psychological development,adolescent behavioural development|adolescent's psychological development|adolescents' psychological development|psychological development of adolescents|psychological development of an adolescent|psychological development of children and young persons
adolescent socialisation behaviour,adolescent socialisation behaviours|adolescent socialisation comportment|adolescent socialisation conduct|adolescent socialization behavior
adult education,adult apprenticeship|adult apprenticeships|adult learning|adult pedagogy|adult students education|adult students learning|adult teaching|adult training|adult trainings|grown-up learning
advanced driver assistant systems,advanced driver aids|advanced driver aids for crash avoidance|advanced driver assistant systems for crash avoidance|vehicle-based intelligent safety systems|vehicle-based intelligent safety systems for crash avoidance
advanced materials,adms|advanced materials in specialised processing|advanced materials in synthesis technologies|innovative materials in specialised processing|innovative materials in synthesis technologies|material synthesis and processing
advertising techniques,advertising approaches|advertising methods|advertising performance|advertising skills|advertising technique|an advertising techniques|techniques of advertising
aerodynamics,aeronautics
aeronomy,atmospheric studies|the study of the atmosphere
aeroponics,aeroponics cultivation|soil-less cultivation
aerospace engineering,aeronautical engineering|aircraft engineering|astronautical engineering|spacecraft engineering
aesthetics,aesthetic beauty|aesthetic movement|aestheticism|principles of beauty
african studies,african affairs
agentic ai,
agile,
agile development,agile development environment|agile development framework|agile frameworks|agile scrum development framework|agile software development|agile software development methods|agile software development practices|agile software environment
agile project management,agile management software
agricultural business management,business management in agriculture|business operations in agriculture|methods of agricultural business management|methods of agricultural business operations|principles of agricultural business management|principles of agricultural business operations|techniques of agricultural business management|techniques of agricultural business operations
agricultural chemicals,agricultural chemical types|fertilizers|insecticides|types of agricultural chemicals|typology of agricultural chemicals
agricultural equipment,agricultural apparatus|agricultural devices|agricultural machinery|agricultural machines|equipment for agricultural use
agricultural sector policies,agricultural sector guidelines|agricultural sector protocols|agricultural sector strategies|land-based sector guidelines|land-based sector protocols|land-based sector strategies
agritourism,activities in agritourism|agri-tourism|agro-tourism|agrotourism|types of agritourism|typology of agritourism
agroecology,agronomic|agronomic principles|the field of agroecology
agroforestry,agri-silvicultural systems|agro-silvopastoral systems|silvo-pastoral systems
agronomical production principles,methods in agronomy|methods of agricultural production|principles of agricultural production|principles of agronomy|techniques in agricultural production|techniques in agronomy
agronomy,agricultural economics|agro-economics|agronomy knowledge|economics of agriculture|methods of agronomy|principles of agronomy|scope of agricultural economics|scope of agro-economics|scope of economics of agriculture|sustainable agronomical principles and methods|techniques of agronomy
air force operations,air force compliance|air force operational compliance|air force operational performance|air force operational procedures|air force operational processes|air force performance|air force procedures|air force processes
air passenger behaviour,air passenger behavior|air traveller behaviour|airline customer behaviour|airline passenger behaviour|behaviour of air passengers|behaviour of airline customers|behaviour of airline passengers|expectations of air passengers|expectations of air travellers|expectations of airline passengers|nature of air passengers|nature of airline passengers
air traffic control operations,air traffic control procedures|atc operations|ground-based air traffic control operations|ground-based air traffic control processes|ground-based atc operations|ground-based atc processes|methods in air traffic control|operations in air traffic control|operations in atc|procedures in air traffic control
air traffic management,air traffic control|air traffic control management|airspace management|control of air traffic|controlling air traffic flow|controlling flow of air traffic|management of air traffic|management of air traffic operations|management of airspace
air transport law,air transport laws|air transport legislation|air transportation law|air transportation laws|air transportation legislation|aviation law|aviation legislation|aviation regulation|legislation governing aviation|legislation in air transport|legislation in aviation|regulation in aviation
aircrack (penetration testing tool),aircrack
aircraft cargo capacity,aeroplane cargo capacity|aircraft freight capacity|airliner cargo capacity|cargo capacity of aeroplanes|cargo capacity of aircraft|cargo capacity of airliners|cargo space on aircraft|freight capacity of aircraft|space for cargo on aircraft
aircraft flight control systems,aircraft flight control system characteristics|aircraft flight control system features|characteristics of aircraft flight control systems|features of aircraft flight control systems|flight control systems of aircraft|systems used to control aircraft movement|systems used to control flight of aeroplanes|systems used to control flight of aircraft|systems used to manoeuvre aircraft
aircraft marshalling signals,aircraft marshalling gestures|aircraft signals|arm and hand gestures used to direct aircraft|arm and hand signals used to direct aircraft|gestures used to direct aircraft|hand and arm signals used to direct aircraft|physical actions used to direct aircraft|signals used to marshal aircraft
aircraft mechanics,aeroplane mechanics|airplane mechanics|helicopter mechanics|mechanics of aircrafts
airflow,apache airflow
airport electrical systems,"aerodrome electrical systems|airport electrical and electronic systems|airport electrical equipment, apparatus, and instruments|airport electronic and electrical systems|electrical and electronic systems of airports|electrical equipment and systems used in airport operations|electrical equipment used in airport operations|electrical equipment, apparatus, and instruments used in airports|electrical systems of aerodromes|electrical systems of airports|electronic equipment and systems used in airports|electronic equipment used in airport operations"
airport environmental regulations,air travel environmental regulations|airport environment regulations|airport environmental codes|airport environmental laws|environmental policies in airports|environmental regulations at airports|environmental safeguarding policies for airports|environmental standards in airports
airport lighting equipment,airport lighting apparatus|airport lighting devices|different systems of airport lighting|lighting apparatus in airports|lighting devices in airports|lighting equipment in airports|lighting systems used in airports|systems of airport lighting|types of lighting used in airports|variety of airport lighting systems|variety of lighting systems used in airports
airport operating environment,airport operational environment|characteristics of airport environment|features of airport environment|operating environment of airport|operating environments of airports|operational characteristics airport environment|operational environment of airport|operational environments of airports|operational features of airport environment
airport planning,airport operational planning|airport programming|airport scheduling activities'|airport strategic planning|planning for airport activities|planning for airport operations|programming for airports|scheduling and planning activities in airports
airport safety regulations,airport health and safety regulations|airport safety codes|airport safety conventions|legal requirements in airport health and safety|legal requirements in airport safety|legislation governing airport safety|regulations concerning airport safety|regulations governing airport safety|safety codes for airports|safety conventions for airports|safety regulations for airport
airport terminal standards,airport standards|airport terminal codes|airport terminal regulations|airport terminal requirements|minimum standards for airport terminal operation|operational requirements for airport terminals|operational standards for airport terminals|standards for airport terminals
airspace system block upgrades,asbu|improvements to atm system functionality
airtight construction,airtight construction for energy performance|airtighthness|airtighthness building strategy|draught-free building envelope|draught-free construction
airtight storage,airtight cache|airtight depot|airtight stockpile|airtight storages|airtight storehouse|storage that is airtight
airworthiness directives,content of airworthiness directives|content of airworthiness instructions|content of airworthiness regulations|contents of airworthiness directives|contents of airworthiness instructions|contents of airworthiness regulations|substance of directives on airworthiness|substance of instructions of airworthiness|substance of regulations on airworthiness|substance or airworthiness ordinances
ajax,ajax software|ajax techniques|ajax technology
ajax framework,ajax development environments|ajax framework components|ajax framework features|ajax framework features for web applications development|ajax framework features for web development|ajax framework for web application development|ajax framework for web applications development|ajax software development environments
aks,azure kubernetes service
alarm systems,alarm system|alarms|home security alarm systems|office security alarm systems|security alarm systems
albanian,ability to comprehend spoken and written albanian and to speak and write in albanian|competent in albanian
alcohol fuels,alcohol fuel|alcohol fuelled
alcoholic beverage products,alcohol product beverage|alcoholic beverages|alcoholic beverages and their properties
algebra,the study of mathematical symbols|the study of mathematical symbols and their manipulation
algorithms,algorithm|algorithmic|formulae|formulas
alkylation,"alkylate isobutanes, alkylation of isobutanes|alkylation process|isobutane alkylation|premium blending agent production|process of alkylation|produce premium blending agents|producing premium blending agents|production of premium blending agents"
allergic cosmetics reactions,allergic cosmetic reaction|allergic cosmetic reactions|allergic cosmetics after effect|allergic cosmetics aftermath|allergic cosmetics reaction|allergic cosmetics repercussion
allergies,allergic disease|allergic diseases|allergy
allergology,allergies and hypersensitivity studies|allergological studies|principles of allergology|study of allergic diseases
alloys of precious metals,alloy of precious metals|gold alloy|platinum alloy|precious metal alloy|precious metal alloys|silver alloy
alternative energy,alternative energy sources
alternative fuels,biofuels|carbon negative fuel|carbon neutral fuel|clean fuel|e-fuels
alumina ceramic,alumina ceramics|ceramic alumina
aluminium alloys,aluminium amalgams|aluminium blends|aluminium composites|aluminium hybrids|aluminum alloys|metallic amalgams|metallic blends|metallic composites|metallic hybrids
amusement park emergency procedures,emergency procedures at amusement park|fun park's emergency and evacuation procedures|fun park's emergency procedures|procedures for emergency at amusement park
anaesthetics,anaesthesia procedures|anaesthetic procedures|conscious sedation
analgesics,analgesic medication|analgesic medications|analgetics|medication for pain relief|medication for painlessness
analog electronics theory,analog electronic circuits theory|analog electronics basics|analog electronics principles|analog electronics theoretical framework|analogue circuits theory
analytical chemistry,analytical chemistry studies|instruments of analytical chemistry|methods of analytical chemistry
anatomy of animals,anatomy and physiology of animals|anatomy of an animal|animal anatomy|knowledge of animal anatomy|study of animal anatomy|study of animal body parts
ancient greek,ability to comprehend spoken and written ancient greek and to speak and write in ancient greek|competent in ancient greek|greek from ancient times
android,android development
android (mobile operating systems),
anger management,anger management strategies|anger management techniques|anger prevention and control|anger-management|techniques of anger management|techniques to manage anger
angular,angular related algorithms|angular techniques and principles|angularjs|coding in angular|programming paradigms in angular|testing in angular
animal acquisition,animal acquisitions|animal adoption
animal behaviour,animal attitude|animal attitudes|animal comportment|behavioural pattern of an animal|behavioural patterns of animals
animal biology,animal-biology|biology of animals|classification of animals|evolution of animals|zoology
animal breeding programmes,animal breeding programme|animal mating programmes
animal evolution,animal natural history|evolution history|evolution of animal life|evolutionary history|history of animal evolution|history of evolution|research of organisms|study of organisms
animal feed ingredients,animal feed contents|animal feed ingredient|animal feed raw materials|animal feed recipes|ingredients of animal feed|make up of animal feed|the ingredients of animal feed
animal food products,animal feedstuffs|animal food product|animal products and food safety|food intended for animal consumption|foodstuffs of animal origin
animal hunting,animal culling legislation|animal culling procedures|animal culling techniques|animal hunting legislation|animal hunting procedures|animal hunting techniques|legislation concerning animal culling|legislation concerning animal hunting|procedures of animal culling|procedures of animal hunting|techniques of animal culling|techniques of animal hunting
animal nutrition,kinds of animal food|kinds of animal nutrition|range of animal food|range of animal nutrition|types of animal food|types of animal nutrition|typology of animal food|typology of animal nutrition
animal positions,animal deportment|animal position|animal posture|animal stance|position of animal
animal production science,animal production sciences|fundamentals of animal production|knowledge of animal husbandry|knowledge of animal nutrition|knowledge of animal production|science of animal production
animal recovery procedures,animal recovery procedure|animal recovery protocols|factors and decision making for animals recovering from a veterinary procedure|factors and decision-making for animals recovering from veterinary procedures|protocols for animal recovery
animal reproductive system,animal endocrinology|animal reproductive cycle|animal reproductive organs|reproductive animal anatomy and physiology|reproductive system of animals
animal species,animal breeds|breeds of animal|characteristics of animal breeds|characteristics of animal species|range of animal breeds|range of animal species|species of animal|types of animal breeds|types of animal species|typology of animal breeds|typology of animal species
animal therapy,animal therapies|involvement of animals in treatment|therapy involving an animal|therapy involving animals
animal training,animal training methods|animal trainings|animal-training|training animals|training of animals
animal transport regulations,animal transportation regulation|animal welfare during transport|animal welfare during transportation|regulation for safe animal transportation|regulation of animal transport|regulation of animal transportation
animal transportation vehicles,animal transportation vehicle|selection and use of animal transportation vehicles|types of vehicles for animal transportation
animal welfare,animal welfare needs|animal's welfare needs|knowledge of animal welfare
animal welfare legislation,animal health and welfare legislation|animal welfare laws|legislation on animal welfare|legislation when working with animals
anodising process,anodising measure|anodising mechanisms|anodising operation|anodising procedure|electroplating measure|electroplating mechanisms|electroplating operation|electroplating procedure
anodising specifications,anodising conditions|anodising processes|anodising stipulations|electroplating conditions|electroplating specifications|electroplating stipulations
ansible,ansible automation tool
anthropic,anthropic api|claude api
anthropology,cultural anthropology|human being's behaviour and it's development|human being's development|human being's societies and culture and their development|social anthropology
anti-dumping law,anti-dumping law making|anti-dumping laws|anti-dumping legislation|anti-dumping regulation|anti-dumping rules|anti-dumping statutes
apache beam,
apache maven,maven
apache tomcat,tomcat
apl,apl programming paradigms
apparel manufacturing technology,apparel manufacturing processes and machinery|apparel manufacturing processes and machines|apparel manufacturing technologies|clothing manufacturing processes and machinery|clothing manufacturing processes and machines|clothing manufacturing technologies|clothing manufacturing technology
application process,application method|application practice|application procedure|application processes|applications process|applications processes
application usability,software usability
applied kinesiology,applied-kinesiology|chiropractic method|chiropractic methods|manual therapy|methods of applied kinesiology
applied music therapy,applied music-therapy|clinical music therapy|music therapy clinical practice|music therapy in medical setting|music therapy treatments|music-based interventions in clinical setting
applied zoology,applied animal biology
aquaculture cultivation equipment,design of aquaculture cultivation equipment|equipment for aquaculture cultivation|plans for aquaculture cultivation equipment|range of aquaculture cultivation equipment|schematics for aquaculture cultivation equipment|specifications for aquaculture cultivation equipment|types of aquaculture cultivation equipment|typology of aquaculture cultivation equipment
aquaculture industry,range of aquaculture industry|range of aquafarming industry|scope of aquaculture industry|scope of aquafarming industry|types of aquaculture industry|types of aquafarming industry|typology of aquaculture industry|typology of aquafarming industry
aquaculture legal documents,aquaculture licenses|legal documents in aquaculture|range of aquaculture legal documents|range of aquaculture licenses|types of aquaculture approvals|types of aquaculture legal documents|typology of aquaculture legal documents|typology of aquaculture permits
aquaculture production planning software,kinds of aquaculture production planning software|kinds of fish farming software|range of aquaculture production planning software|range of fish farming software|types of aquaculture production planning software|types of fish farming software|typology of aquaculture production planning software|typology of fish farming software
aquaculture reproduction,aquaculture reproduction principles|broodstock recruitment by genetic selection|environmental control of spawning|genetic selection|methods of aquaculture reproduction|principles of aquaculture reproduction|spawning|spawning on nests|stripping|techniques of aquaculture reproduction|use of hormones to induce reproduction
aquaponics,fish-plant cultivation
aquatic ecology,biology of aquatic ecology|eco-systems in water|field of aquatic ecology|science of aquatic ecology|water eco-systems|water ecosystems
aquatic resources biosecurity,biosecurity and aquaculture|biosecurity in aquaculture|concept of aquatic resources biosecurity|field of aquatic resources biosecurity|impact of biosecurity in aquaculture|principles of aquatic resources biosecurity|science of aquatic resources biosecurity|science of biosecurity and aquaculture
aquatic species,aquatic species types|care needs of aquatic biological specimens|care needs of crustaceans|care needs of fish|care needs of molluscs|range of aquatic species|typology of aquatic species|varieties of aquatic species
arabic,ability to comprehend spoken and written arabic and to speak and write in arabic|competent in arabic
archaeobotany,archaeological plant studies|the study of plant remains
archaeology,ancient human activities findings' recovery and examination|archaeological study|archeology|egyptology|recovery and examination of findings from human activity in the past
architectural conservation,architectural conservancy|architectural maintenance|architectural preservation|architecture conservancy|architecture conservation
architectural design,architectural blueprint|architectural plan|architectural project|architectural proposal|architecture design|design architecture
architectural theory,architecture theory|the study of architecture|theoretical architecture|theoretical architecture studies
architecture regulations,architecture laws|architecture norms|architecture regulation|architecture requirements|architecture standards
argocd,argo cd
armenian,ability to comprehend spoken and written armenian and to speak and write in armenian|competent in armenian
art collections,art collection knowledge|art collection management|art collection purchasing|collections|collections of art|collections of art items|collections of artwork
art history,artistic trends throughout centuries|arts history|history of art|history of art and its artists
art-historical values,art value|art-historical value|historical and artistic qualities|historical value
artificial lighting systems,artificial light and power consumption|hf fluorescent lighting system|hf fluorescent power consumption|led lighting system|led lights power consumption
artificial neural networks,ann|artificial neural nets|neural nets|neural networks|nn
asbestos removal regulations,asbestos removal legislation|legislation concerning asbestos removal|legislation covering asbestos removal|legislation for asbestos removal|regulations concerning asbestos removal|regulations covering asbestos removal|regulations for asbestos removal
asp.net,.net|asp.net framework|dotnet
asphalt mixes,asphalt mix|macadam mixes|marshall mix|mix of asphalt|mixes of asphalt|superpave mix|tarmac mixes
assembly (computer programming),assembly|assembly algorithms|assembly computer programming paradigms|assembly software development principles|assembly software development techniques
assertiveness,assertion|confidence|self-assured
assessment processes,assessment methods|assessment practices|assessment procedures|assessment process|assessments process|assessments processes
asset management,total wealth management
assistive instruments,assistive devices|assistive instrument|assistive technology|instrument of assistance
assistive technology in education,assistive technology for learning purposes|digital devices for learning support|digital equipment for learning support|digital mainstream technologies for inclusive education|learning assistance technology
astrology,horoscopy|stargazing
astronomy,celestial studies|the study of celestial bodies
astropsychology,psychological astrology
asylum systems,asylum arrangements|asylum rules|asylum schemes|asylum structures|refugee protection arrangements|refugee protection rules|refugee protection schemes|refugee protection structures
atm systems,abms|atm system|automated banking machines|automated teller machine systems|automated teller machines|automatic teller machine systems|cash machines|cash points|holes in the wall|minibanks
attack vectors,cybersecurity threats|ict security threats|information security threats
auction characteristics,auction aspects|auction attributes|auction characteristic|auction components|auction qualities|auctioning characteristic|auctioning characteristics
audio editing software,audio edit software|audio editing plugin|audio editing program
audio mastering,mastering of audio|sound mastering|soundtrack mastering
audio post-production,post-production of audio|sound post-production
audio technology,audio equipment|audio software|audio techniques|audio technologies
audiology,science of hearing and balance disorders|treatment of hearing and balance conditions|treatment of hearing and balance disorders
audiometry,diagnosing hearing impairment through audiometry|measuring hearing acuity|testing of a person's ability to hear sound frequencies
audiovisual equipment,audio-visual apparatus|audio-visual devices|audio-visual gear|audio-visual instruments
audiovisual products,audio-visual product|av products
audit techniques,audit procedures|battery audit process
augmented reality,ar|ar creation process|ar techniques|augmented reality creation process|augmented reality techniques
auriculotherapy,auricular therapy|auriculoacupuncture|ear acupuncture|ear acupuncture therapy|ear reflexology
authoring software,
autism,characteristics of autism|fundamentals of autism|study of autism
autogen,
automated optical inspection,aooi|inspection of smd|optical inspection which is automated|pcb inspection|pccb aooi|smd inspection|smmd aooi
automated sprinkler bulbs,automatic sprinkler bulb|automatic sprinkler bulbs|fire sprinkler bulbs|frangible sprinkler bulbs|heat-sensitive glass bulb|heat-sensitive glass bulbs|sprinkler bulb|sprinkler bulbs|sprinkler trigger bulbs|temperature sensitive bulbs
automatic control system,automated control system|autonomous control system|mechanised control system|self-controlling system
automatic meter reading,automatically reading meter|automatically reading meters|meter reading automatically|remote meter reading|smart meter reading|smart metering
automation technology,automation in maintenance|automation in production systems|automation technologies|control systems technology|technologies of automation|technology for control systems|technology of control systems
automotive diagnostic equipment,automotive diagnostic equipments|automotive diagnostic scanner|automotive diagnostic tools|automotive examination tools|automotive test equipment|diagnostic equipment of automotives|motor vehicle diagnostic equipment|motor vehicle examination equipment|test equipment of automotives
aviation english,civil aviation english|english for aviation|english for aviation operations|english for aviation purposes|flight english|pilot english|pilot's english
aviation meteorology,aspects of aviation meteorology|aviation meteorology features|aviation meteorology principles|impact of climatic conditions on air traffic management|impact of climatic conditions on aviation|impact of weather conditions on aviation|impact of weather on air traffic management|meteorology for aviation|principles of aviation meteorology|study of aviation climatic conditions|study of aviation weather conditions
aws,amazon cloud|amazon web services
ayurveda medicine,ayurvedic medicine|ayurvedic treatment|indian holistic health system|indian holistic medicine|medical use of ayurveda
azerbaijani,ability to comprehend spoken and written azerbaijani and to speak and write in azerbaijani|azerbaijani turkish|azeri|azeri turkish|competent in azerbaijani
azure,microsoft azure
baby care,infant care|nannying
babysitting,baby sitting|baby-sitting|child care taking|nannying
backbox (penetration testing tool),backbox
badminton,badminton sport techniques
bakery ingredients,bakery consumables|bakery ingredient|bakery materials|bakery raw materials|baking ingredients|ingredients in a bakery
bakery production methods,bakery production method|bakery production methodology|bakery production procedures|bakery production processes|bakery production systems|bakery production techniques|methods of bakery production
bakery products,a bakery product|bakery brands|bakery commodities|bakery goods|bakery merchandise|bakery product|bakery stock|products of a bakery
balance disorders,abnormalities in balance|balance disorder|causes of balance disorders|disorder of balance
balneotherapy,balneotherapy paradigms|balneotherapy practice|balneotherapy principles|balneotherapy procedures|balneotherapy treatments|principles of treatment through use of therapeutic baths|procedures using therapeutic baths|therapeutic bath treatments|treatment using therapeutic baths|use of therapeutic baths to treat medical conditions
banking activities,banking activity
barbering techniques,barber technique|barber techniques|barbering approaches|barbering methods|barbering procedures|barbering technique
bash,bash scripting|shell scripting
basic chemicals,base chemicals|benzene|characteristics of basic chemicals|ethanol|hydrogen|inorganic basic chemicals|methanol|nitrogen|oxygen|types of basic chemicals
basque,ability to comprehend spoken and written basque and to speak and write in basque|competent in basque
batch tank types,batch a tank type|batch tank brands|batch tank categories|batch tank formats|batch tank varieties|batching tank types
bathymetry,the study of water depth
battery chemistry,battery chemicals|chemicals in batteries|chemicals used in batteries|chemistry of batteries|chemistry of battery types|chemistry of types of batteries
battery components,battery elements|battery parts|components of batteries|types of battery components|typology of battery components|voltaic cells
battery design,automotive development processes|battery cell design|battery characterisation techniques|battery engineering|battery module design|battery system design|design and development of battery systems
battery fluids,characteristics of battery fluids|electrolyte|electrolyte fluid|electrolyte solution|fluids in battery|properties of battery fluids
battery formation,battery calibration|battery cell formation|battery cell preparation|battery conditioning
battery management systems,battery control systems|battery monitoring systems
battery testers,battery meter|battery meter types|battery module testing|battery tester types|meters for batteries|range of battery meters|range of battery testers|testers for batteries|types of battery meters|types of battery testers|typology of battery meters|typology of battery testers
beer downstream processing,beer downstream measures|beer downstream mechanisms|beer downstream procedures|downstream beer processing|downstream processing of beer|downstream processing of beers
beeswax,alba|bee wax|composition of beeswax|natural wax|properties of beeswax|wax from bees
behavioural disorders,behavioral disorders|behaviour disorders|behavioural delay|behavioural difficulty|behavioural disorder|behavioural problem
behavioural neurology,behavioral neurology|behaviour neurology|care for individuals with behavioural disturbances|neuro-science and behaviour|neurology of behaviour|neuroscience and behaviour
behavioural science,behavioral research|psychology of behavior|study of human behavior
behavioural therapy,behavioral therapy|characteristics of behavioural therapy|foundations of behavioural therapy|methods in behavioural therapy|therapy of behaviour
belarusian,ability to comprehend spoken and written belarusian and to speak and write in belarusian|competent in belarusian
belay techniques,belay approaches|belay methods|belay procedures|belay technique|belaying technique|belaying techniques
below-the-line technique,below the line technique|below-the-line method|btl technique
bengali,ability to comprehend spoken and written bengali and to speak and write in bengali|bangla|competent in bengali
berber,ability to comprehend spoken and written berber and to speak and write in berber|competent in berber|tamazight
bert,
betting,gambling|wagering
betting legislation,betting laws|gambling laws|gambling legislation|wagering legislation
beverage products,a beverage product|beverage brands|beverage commodities|beverage goods|beverage merchandise|beverage product|beverage production|beverage stock
beverages filtration processes,beverage filtration process|beverage filtration processes|beverages filtration measures|beverages filtration mechanisms|beverages filtration procedures|beverages filtration process|beverages filtration systems
beverages production process,beverages production analysis|beverages production conversion|beverages production handling|beverages production measurement
bible texts,bible contents|bible documents|bible passages|bible verses|biblical contents|biblical documents|biblical passages|biblical verses
bicycle mechanics,bike mechanics|cycle mechanics|mechanics of bicycles|two-wheeler mechanics
bicycle sharing systems,bike sharing|pbs schemes|public bicycle schemes
bihari,ability to comprehend spoken and written bihari and to speak and write in bihari|competent in bihari
binding technologies,binding methods|binding procedures|binding techniques|binding technology
bingo terminology,bingo lingo|bingo nicknames|bingo terms|terminology of bingo
biodiesel,biodiesel fuel
bioeconomy,bio-based economy|biorefinery|biotechonomy
bioethics,bio-ethics|ethical issues in biotechnology and medicine|ethics in biotechnology|implications of ethical issues in biotechnology
biofilter systems,bio-filter equipment|bio-filter systems|biofilter equipment|range of bio-filter equipment|range of bio-filter systems|range of biofilter equipment|range of biofilter systems|types of bio-filter equipment|types of bio-filter systems|types of biofilter equipment|types of biofilter systems|typology of bio-filter equipment|typology of bio-filter systems|typology of biofilter equipment|typology of biofilter systems
biogas energy,biogas energy production|biogas systems
bioleaching,bacterial leaching|biohydrometallurgy|bioleaching basics|bioleaching principles|fundamentals of bioleaching|microbial leaching|principles of bioleaching
biological chemistry,analysis of chemical and biological interactions|analysis of chemical processes in relation to biological macromolecules
biological haematology,diagnosis and treatment of blood diseases|study of blood diseases
biology,basics of biological science|basics of biology|field of biological science|field of biology|first principles of biological science|first principles of biology|fundamentals of biological science|fundamentals of biology|science of biology
biomarkers,biological indicators|biological markers|biological medical signs|biological signals|biological signs|biomarkers principles|indicators of a biological state|indicators of a medical condition|indicators of biological condition|indicators of medical status|signs of a medical condition
biomass conversion,biomass processing|biomass transformation|conversion of biomass|converting biomass
biomechanics,applying methods of mechanics to biological systems|understanding biological organisms by mechanical means
biomechanics of sport performance,anatomy and biomechanics for sports|biomechanics and anatomy for sports|biomechanics of sport practice|biomechanics of sports performance|sport performance biomechanics|sport practice biomechanics|theoretical and experiential biomechanics for sports
biomedical engineering,biomedical assembly|biomedical construction|biomedical engineering processes|biomedical fabrication|biomedical manufacturing
biomedical science,principles of natural sciences applied to medicine
biomedical techniques,method used in biomedical laboratory|methods used in biomedical laboratory|technique used in biomedical laboratory|techniques used in biomedical laboratory
biomedicine,bio-medicine|foundations of biomedicine|principles of biomedicine|study of biomedicine
biometrics,biometry
biophysics,applied physics-biophysics|biophysical science|science of biophysics
biosafety in biomedical laboratory,bio-safety in biomedical laboratory|biosafety in biomedical laboratories|managing infectious materials in laboratory environment|principles and methods of biosafety in laboratories
biosecurity,avoiding bio-security breaches|avoiding bio-security incidents|concept of bio-security|methods of bio-security|prevention of bio-security breaches|prevention of bio-security incidents|principles of bio-security|techniques of bio-security
biosecurity related to animals,awareness of hygiene and security measures related to animals|bio-security related to animals|biosecurity measures when working with animals|biosecurity related to an animal
biostatistics,biology-related statistics|methods of biostatistics|study of biostatistics
biotechnology,bio-science|bio-tech|bio-technology|field of bio-science|field of bio-technology|field of bioscience|field of biotechnology|science of bio-science|science of bio-technology|science of bioscience|science of biotechnology
biotechnology in aquaculture,field of bio-science in aquaculture|field of bio-technology in aquaculture|field of bioscience in aquaculture|field of biotechnology in aquaculture|science of bio-science in aquaculture|science of bio-technology in aquaculture|science of bioscience in aquaculture|science of biotechnology in aquaculture|techniques of bio-science in aquaculture|techniques of bio-technology in aquaculture|techniques of bioscience in aquaculture|techniques of biotechnology in aquaculture|use of bio-science in aquaculture|use of bio-technology in aquaculture|use of bioscience in aquaculture|use of biotechnology in aquaculture
bitbucket,
blackarch,blackarch testing tool
blackberry,blackberry system
blanching machine process,blanching machine measures|blanching machine mechanisms|blanching machine procedures|blanching machine processes|blanching machine systems
