skill,skill_aliases
draft scientific or academic papers and technical documentation,create technical documentation|create technical documentation and academic writings|write technical documentation|write scientific and academic papers
incremental development,gradual development
use of special equipment for daily activities,use of particular equipment for daily activities
sawing techniques,sawing methods|sawing procedures|sawing technologies
produce guitar components,erect guitar components|build guitar components|construct guitar components|producing guitar components|produce a guitar component|make guitar components
operate agricultural machinery,operating farm machinery|operating motorised farm machinery|operate farm machinery|operate motorised agricultural machinery|agricultural machinery operating|operating motorised agricultural machinery|farm machinery operating|motorised farm machinery operating|motorised agricultural machinery operating
control pyrotechnics stock,pyrotechnics stock managing|pyrotechnics stock controlling|control stock of pyrotechnics|manage pyrotechnics stock
guarantee customer satisfaction,ensure customer satisfaction|promise customer satisfaction|customer satisfaction guarantee|assure customer satisfaction|guaranteeing customer satisfaction|provide customer satisfaction
manufacture wearing apparel products,manufacture clothing products|assemble clothing components|assemble garment components|manufacture garments|manufacture wearing apparel|manufacture clothing|assemble wearing apparel components
cure tobacco leaves,smoke tobacco leaves|preserve tobacco leaves|temper tobacco leaves|dry tobacco leaves|cure a tobacco leaf
develop a rehabilitation programme,set up rehabilitation plan|design a rehabilitation programme|compile a rehabilitation plan|develop rehabilitation programmes
maintain inventory of cleaning supplies,maintain inventory of cleaning supply|track inventory of cleaning supplies|maintain inventory of supplies for cleaning|manage inventory of cleaning supplies
cold vulcanisation,tyre repair technique|tyre repair method|using vulcanising solution|use of vulcanising solution
supervise housekeeping operations,coordinate housekeeping duties|supervise housekeepers' duties|oversee housekeeping operations|supervise operations of housekeeping
act as contact person during equipment incident,take responsibility as a contact person during incident|be the contact person during equipment incident|be the contact person during investigation|play the role of a contact person during investigation|engage as a contact person during investigation|play the role of contact person during equipment damage
manage time in landscaping,landscaping scheduling|scheduling landscaping|schedule landscaping|landscaping time managing|time managing in landscaping
advise on customs regulations,advise customers|counsel on trade regulations|advise customers on tariff systems|counsel on custom-related topics|guide on import and export regulations
manage university department,manages university department|managing university department|coordinate university department|supervise university department|oversee university department
develop terminology databases,define terminology databases prepare terminology databases|draw up terminology databases|populate terminology databases|write terminology databases|compile terminology databases
repair electric bicycles,repair electric bikes|repair bicycles|fix electric bikes|repair electric bicycle|fix electric bicycles
maintain sorting equipment,sorting equipment maintaining|repairing sorting equipment|repair sorting equipment|maintaining of sorting equipment|sorting equipment repairing
explain features in accommodation venue,explain accommodation venue features|brief guests on room facilities|explain features in guest room|explain accommodation features at venue
types of barley,categories of barley|kinds of barley|strains of barley|varieties of barley|barley types
kdevelop,kdevplatform|kdevelop platform
purchase vehicle parts,carrying out parts purchasing|complete parts purchasing|carry out parts purchases|make parts purchasing|oversee parts purchasing|carry out parts purchasing|carry out part purchasing|undertake parts purchasing
inspect offshore constructions,examine offshore constructions|evaluate offshore constructions|check offshore constructions|assess offshore constructions
adjust envelope cutting settings,modify envelope cutting settings|change envelope cutting settings|adapt envelope cutting settings|tweak envelope cutting settings
prepare oils,prepare oil|arrange oil|select and mix oil|arrange oils|assemble oils|assemble oil
purchase supplies,acquire supplies|pay for supplies|gain supplies|purchase diy supplies|purchase of supplies|supplies purchasing|purchasing supplies|buy supplies
pursue excellence in the creation of food products,look for excellence in the creation of food products|pursue excellence in the creation of a food product|aim for excellence in the creation of food products|seek excellence in the creation of food products
maintain personal hygiene standards when cleaning,keep up personal hygiene standards when cleaning|sustain personal hygiene standards when cleaning|maintain personal hygiene standard when cleaning|maintain personal hygiene when cleaning
water skiing,waterski
liaise with typists,collaborate with typists|liaise with typist|liaising with typists|cooperate with typists|work together with typists
assess railway operations,conduct review of railway performance|conduct study on railway operations and performance|analyse railway operations|conduct analysis of railway operations|appraise railway operations|evaluate railway operations|review railway operations|conduct evaluation of railway performance
practise extreme sports,practising extreme sports|practise extreme sport|engage in extreme sports|participate in extreme sports|play extreme sports|practice extreme sports
adopt ways to foster biodiversity and animal welfare,concretely support biodiversity and animal welfare|implement environmental choices in your own eating habit|adopt a sustainable eating habit|take sustainability issues into account in consumption choices|take animal welfare into account when buying food products|promoting organic and biological food consumption
provide chaperone for children on set,arrange chaperone for children on set|providing chaperone for children on set|provide chaperone for child on set|organise chaperone for children on set|offer chaperone for children on set
organise labour,worker organising|organise workers|organize labor|organising labour|workers organising|labour organising|organising workers
use glass engraving tools,work with glass engraving tools|glass engraving with tools|glass engraving tools using|working with glass engraving tools|use engraving tools on glass|using glass engraving tools
operate wrecking ball,control wrecking ball|operation of wrecking ball|demolish structure with wrecking ball|wrecking ball control|demolition with wrecking ball|wrecking ball operation
evaluate garment quality,estimate wearing apparel quality|evaluate quality of clothing|evaluate quality of garments|evaluate wearing apparel quality|evaluate quality of wearing apparel|estimate clothing quality|inspect clothing quality|evaluate clothing quality|inspect garment quality|estimate garment quality
apply for refunds,refund applications|undertake refunds|apply for a refund|administer refunds|implement refunds|make refunds
perform a feasibility study for building management systems,conduct a viability analysis for facility management systems|carry out bms feasibility study|execute a feasibility investigation for building management systems|undertake an assessment of building management system feasibility
absorb (learning management systems),absorb
peform small vessel administrative duties,fulfil administrative duties on a small vessel|perform small vessel administrative duties|performing administrative duties on a small vessel|perform administrative duties on a small vessel|performing small vessel administrative duties|fulfil small vessel administrative duties|fulfilling administrative duties on a small vessel|fulfilling small vessel administrative duties
cosmetics ingredients,ingredients of cosmetics|a cosmetics ingredient|cosmetics raw materials|cosmetics elements|cosmetics additives
human dynamics as part of hospitality security,hospitality security human dynamics|human dynamics as part of security in hospitality|behavioural insight for customers' security|human behaviour as part of a security programme
advise on construction materials,provide advice on construction materials|giving of advice on construction materials|advise about construction materials|advise regarding construction materials|giving advice on construction materials|give advice on construction materials
maintain rotating equipment,mend revolving equipment|reconstruct revolving equipment|overhaul revolving equipment|overhaul rotating equipment|replace revolving equipment|mend rotating equipment|reconstruct rotating equipment|replace rotating equipment|maintain revolving equipment
develop blockchain innovative architectures,build innovative blockchain architectures
pump products for storage,pump goods for storage|pump merchandise for storage|pump artefacts for storage|pump items for storage
medico-biological and medical sciences related to dentistry,medico-biological and medical principles relevant for dentistry|medico-biological and medical aspects of dentistry|dentistry-related medico-biological and medical sciences|dentistry medico-biological and medical sciences
attend to detail in casting processes,attend to casting processes detail|attend to casting process details|attention to detail in casting processes
biomedical science,principles of natural sciences applied to medicine
keep up to date on product knowledge,keep posted on product knowledge
write hungarian,correspond in written hungarian|show competency in written hungarian
monitor drilling fluid,monitoring drilling fluid|monitor mud|monitoring of mud|drilling mud monitoring|monitoring mud|monitoring drilling fluids|drilling fluid monitoring|monitoring of drilling mud|monitoring drilling mud|monitoring of drilling fluid|drilling fluids monitoring|monitor drilling mud|mud monitoring
develop efficiency plans for maritime shipping,produce maritime shipping efficiency plans|produce and implement plans to ensure maritime efficiency|develop efficiency plans for shipping|oversee planning for maritime efficiency|produce efficiency plans for maritime shipping|ensure maritime efficiency through planning|oversee maritime shipping efficiency plans|develop maritime shipping efficiency plans|implement maritime efficiency plans
tend packaging machines,watch packaging machines|mind packaging machines|tend packaging machinery|take care of packaging machines|look after packaging machines|tend a packaging machines
advise on clay products handling,instruct on clay products handling|instructing on handling of clay products|instruct on clay product handling|instructing on clay product handling|advising on handling of clay products
maintain drilling equipment,drilling equipment maintenance|mending drilling equipment|repair drilling equipment|maintenance of drilling equipment|mend drilling equipment
control tree diseases,diseased tree removing|tree disease controlling|remove diseased trees|diseased trees removing
network engineering,network architecture
analyse the artistic concept based on stage actions,analyse artistic concept stage action|examine a performance's artistic concept according to stage movements|analyze the artistic concept based on stage actions|analyse the artistic concept based on actions on stage|analyse the artistic concept of a performance during rehearsals
migrate existing data,drift existing data
manage supplies,supplies managing|control and monitor supplies|monitor and control supplies|supply chain management|supplies planning|manage supply chain|plan supplies|supplies management
human factors regarding safety,human safety implications|human safety considerations|human factors regarding health and safety|human health and safety implications|human safety factors|human health and safety considerations
understand spoken luxembourgish,understand luxembourgish speech|interpret spoken luxembourgish|comprehend spoken luxembourgish|make sense of spoken luxembourgish|listen to luxembourgish
perform roof maintenance,maintaining roofs|roof maintenance performance|mend roof|maintain roofs|repair roofs|performance of roof maintenance|repair roof|roof repair
types of digesters,categories of digesters|kinds of digesters|varieties of digesters|type of digester|sorts of digesters
define database physical structure,define database physical storage structure
lay stones,paving stone laying|lay stone paviours|laying paving stones|laying stones|laying of paving stones|building of stone walls|build stone walls|stone laying|lay paving stones|building stone walls|laying of stones
assemble circus rigging equipment,assembling circus rigging equipment|install circus rigging equipment|fit up circus rigging equipment|assemble rigging equipment for circus|set up circus rigging equipment
manage documentation of prior learning assessments,handle documentation of prior learning assessments|establish the learning assessment protocol|oversee documentation of prior learning evaluations|administer documentation of prior learning assessments
perform oral health diagnosis,conduct oral health diagnosis|diagnose a patient's oral health|record patient's oral and dental state|accomplish oral health diagnosis|execute oral health diagnosis|record oral health diagnosis|carry out oral health diagnosis|fulfill oral health diagnosis
geomatics,the study of earth’s surface
contamination exposure regulations,regulations concerning contamination exposure|regulations about contaminated materials|contamination risks while handling battery materials|regulations regarding contamination exposure|regulations concerning contaminated materials|regulations regarding contaminated materials|regulations about contamination exposure
maltego,maltego digital forensics tool|maltego cybersecurity tool|maltego forensics
search historical sources in archives,query historical sources in archives|search archives for historical sources|find historical sources in archives|historical source search in archives|explore historical sources in archives
supervise performers' fights,supervising performers' fights|supervise performer's fights|direct performers' fights|manage direct performers' fights|arrange direct performers' fights|supervise performers' fight
develop script bible,draft script bible|developing script bible|establish script bible|write script bible|develop script’s bible|set script bible
operate radio equipment,set up and maintain radio equipment|oversee the use of radio equipment|utilise radio equipment|facilitate use of radio equipment|oversee the use of radio devices|set up and maintain radio devices|utilise radio devices|use radio equipment|use radio devices|operate radio devices|facilitate use of radio devices
remove contaminated materials,treat contaminated materials|contaminated materials treating|removing contaminated materials|dispose of contaminated materials|contaminated materials removing|contaminated materials disposing
inspect paint quality,review paint quality|inspect quality of paint|inspect paint condition|check paint quality
styles of boxes,kinds of boxes|sorts of boxes|types of boxes|style of box|box styles|shapes of boxes
collect property financial information,audit properties|collect information on property finance|collect financial information on properties
trace financial transactions,trace financial transaction|track financial transactions|tracing financial transactions|oversee financial transactions
contribute to quality physiotherapy services,contribute to safe physiotherapy services|undertake physiotherapy service quality activities|make contributions to the development of quality physiotherapy services|contribute to physiotherapy service quality development|support quality physiotherapy service development|contribute to quality development in physiotherapy|contribute to quality development in physiotherapy services|contribute to cost-effective physiotherapy services|participate in activities for the development of quality physiotherapy services|participate in physiotherapy quality development activities
install radiators,build radiators|build convector heaters|institute radiators|install radtors|introduce radiators|inaugurate convector heaters|introduce convector heaters|inaugurate radiators|institute convector heaters
advise on care products for pets,suggest customers on usage of care products for pets|instruct customers on usage of care products for pets|advise a customer on usage of care products for pets|recommend customers on usage of care products for pets|help customers on usage of care products for pets|commend customers on usage of care products for pets|advise customers on the usage of care products for pets|advise customers on usage of care products for pets|advising customers on usage of care products for pets
operate remote sensing equipment,use remote sensing equipment|control remote sensing equipment|run remote sensing equipment|employ remote sensing equipment|operation of remote sensing equipment|remote sensing equipment operation
calculate stairs rise and run,stairs rise and run calculation|stair rise and run assessment|calculate staircase rise and run|staircase rise and run assessment|calculation of stair rise and run|assessment of stair rise and run|calculations for stair rise and run|calculate staircase dimensions|staircase rise and run calculation|calculate stair rise and run measurements|calculating stair rise and run|calculate staircase rise and run measurements
first aid for animals,characteristics of animal emergency treatment|principles of first aid for animals|basic emergency treatment for animals|basic knowledge of first aid provision to animals|basic animal first aid|animal first aid principles|basic animal emergency treatment|basic 1st aid for animals|aims of animal first aid
empathise with outdoor groups,understand participants of outdoor activities|empathise with groups|empathize with outdoor groups|empathise with participants of outdoor sports
provide context to news stories,offer context to news stories|situate news stories|provide context to news story|contextualize news stories|providing context to news stories
interpret circuit diagrams,understand circuit schematics|interpret electrical circuit diagrams|understand circuit blueprints|read circuit diagrams|interpret elementary diagrams|read diagrams of circuits
draw up artistic production,drawing up artistic production|document artistic production|draw up artistic productions|write down artistic production|register artistic production|record artistic production
install passenger service units,attach passenger service units|place psus|adjust passenger service units for use|prepare passenger service units for use|fix passenger service units|install aircraft components situated above passenger seats|install psus|put into operation psus|mount passenger service units
understand written korean,read korean|comprehend written korean|make sense of written korean|interpret written korean|understand korean writing
keep records of bridge investigation findings,keep written records of bridge investigation findings|produce written records of bridge investigations|record the findings of bridge investigations in writing|keep records of the findings of bridge investigations|maintain records of bridge investigations|maintain records of the findings of bridge investigations|ensure written records of the findings of bridge investigations are maintained|keep records of bridge investigations|maintain records of bridge investigation findings|ensure findings of bridge investigations are recorded in writing
sand blasting machine parts,sand blasting machine components|sand blasting machine pieces|blasting abrasive machine pieces|sand blasting machine units|sand blasting machine elements|blasting abrasive machine elements|blasting abrasive machine units|blasting abrasive machine components
create model,create models|construct model|design model|creating model|make model|build model
follow procedures to control substances hazardous to health,follow control of health procedures for hazardous substances|ensure safe use of substances hazardous to health|follow control of substances hazardous to health procedures|comply with guidelines for use of hazardous substances|follow health procedures for the control of hazardous substances
assess visual impact of displays,check visual impact of displays|assess the visual impact of a display|assess the visual impact of displays|appraise visual impact of displays|test visual impact of displays|judge visual impact of displays|assessing the visual impact of displays
select glassware for serving,select glassware|determine glassware for use and inspect for cleanliness|select glasswares for serving
cardiovascular system,cardiovascular anatomy and physiology|anatomy and physiology of the heart and vascular system|cardiovascular systems
biosecurity related to animals,bio-security related to animals|biosecurity related to an animal|biosecurity measures when working with animals|awareness of hygiene and security measures related to animals
check information on prescriptions,ensure accuracy of prescriptions|verify information on prescription|check prescription information|check prescription's information|verify information on prescriptions
assume responsibility for maintaining a safe ship environment,maintain safety of vessel environment|ensure the safety of crew and passengers on board vessel|assume responsibility for maintaining a safe vessel environment|ensure a safe on board environment|assume responsibility for maintaining a safe environment on vessels|ensure a safe environment on board|assume accountability for maintaining a safe vessel environment|assume responsibility for maintaining a safe environment on ships|ensure the safety of crew and passengers on board ship|maintain a safety of ship environment|assume accountability for maintaining a safe ship environment
follow hygienic practices in fishery operations,employing hygienic operational practices in fisheries|following hygienic practices in fishery operations|employing hygienic practices in fishery operations|following hygienic operational practices in fisheries|employ hygienic practices in fishery operations|employ hygienic operational practices in fisheries|follow hygienic operational practices in fisheries
supervise work on design planning,supervising work on design planning|produce work on design planning|develop work on design planning|supervising the work on design planning|supervise the work on design planning|model work on design planning|arrange work on design planning
measure trees,gauge tree measurement|measuring trees|measure tree height|measure the trees
bend staves,shape staves|bend stave|bow staves|curve staves|bending staves|form staves
select music for performance,select which music to perform|determine music pieces|choose music scores|select performance music
geological mapping,geological map|geologic mapping
tend electron beam welding machine,monitor electron beam heating and bonding machine units|guard electron beam heating and bonding machine units|oversee electron beam heating and bonding machine units|monitor electron beam welding machine|watch electron beam heating and bonding machine units|oversee electron beam welding machine|guard electron beam welding machine|watch electron beam welding machine
ensure infrastructure accessibility,provide accessible facilities|ensure facilities are accessible to people with disabilities|consult on infrastructure accessibility
inspect table settings,check table layout|inspect table setup|inspect settings at table|ensure correct table layout
drive automatic car,drive automatic cars|driving automatic cars|pilot automatic car|operate automatic car|use automatic car|driving automatic car
prepare intravenous packs,make iv packs ready|prepare iv pack|prepare intravenous pack|prearrange iv packs|prearrange intervenous packs|set up iv packs|prepare iv packs
configure electronic equipment,electronic equipment configuring|set up electronic equipment|configuring electronic equipment|setting up electronic equipment|electronic equipment setting
erlang,erlang programming language
operate specialised equipment in emergency,operate specialized equipment in emergency|operate specialized equipment in emergencies|operate specialised equipment in emergencies|operate specialized equipment in emergency environment|use specialised equipment in emergency|use specialised equipment in emergency situations
plan retail space,set up retail space|organise retail space|lay out retail space|plan a retail space|planning retail space|arrange retail space|plan retail spaces
write leaflets,compose pamphlets|create pamphlets|produce pamphlets|create leaflets|draft leaflets|produce leaflets|compose leaflets|draft pamphlets
use jewellery equipment,work with jewellery equipment|use jewelry equipment|using jewellery equipment|use equipment for jewellery|utilize jewellery equipment
taste wines,tasting wines|sip wines|evaluate wines|taste a wine|drink wines|sample wines
manufacturing of taps and valves,fabrication of taps and valves|assembly of taps and valves|construction of taps and valves|construction of industrial sanitary equipment|production of industrial sanitary equipment|fabrication of industrial sanitary equipment|production of taps and valves|assembly of industrial sanitary equipment
check sensorial parameters of oils and fats,check of sensorial parameters of oils and fats|audit sensorial parameters of oils and fats|check the sensorial parameters of oils and fats|test sensorial parameters of oils and fats|check sensorial parameters of oil and fat|assess sensorial parameters of oils and fats
maintain coquille parts,coquille repair|repairing coquilles|coquille repairs|repair coquilles|maintaining of coquille parts|coquille parts maintenance|maintaining coquille parts|coquille part maintenance|maintenance of coquille parts
understand spoken hungarian,listen to hungarian|comprehend spoken hungarian|make sense of spoken hungarian|understand hungarian speech|interpret spoken hungarian
schedule maintenance of airport electrical systems,create airport electrical system maintenance schedules|perform airport electrical systems maintenance scheduling|organise maintenance for electrical systems used in airports|schedule maintenance for electrical systems used in airports|organise maintenance of airport electrical systems|schedule maintenance for airport electrical systems|arrange maintenance of airport electrical systems|organise maintenance for airport electrical systems|develop airport electrical systems maintenance schedule|carry out maintenance scheduling for airport electrical systems|arrange maintenance schedules for airport electrical systems
history of tobacco,traditions of tobacco|yesteryear of tobacco|tobacco history|the history of tobacco|history regarding tobacco|past of tobacco|norms of tobacco
carry out event management,complete event management|undertake event management|make event management|oversee event management
understand spoken welsh,understand welsh speech|interpret spoken welsh|make sense of spoken welsh|comprehend spoken welsh|listen to welsh
manage ict data classification,lead ict data classification responsabilities|organise ict data classification responsibilities
keep sheet records,save sheet records|keep sheet record|maintain sheet records|conserve sheet records|preserve sheet records|keeping sheet records
brush rubber cement,brushing rubber cement|applying rubber cement|rubber cement brushing|apply rubber cement|rubber cement applying
develop leather goods collection,develop leatherwear collection|develop leather goods|create prototype and final leather products|develop leather products collection|create prototype and final leather goods|create leather goods collection
create solutions to problems,devise solutions to problems|create solution to problems|formulate solutions to problems|conceive solutions to problems|create solutions|come up with solutions to problems|creating solutions to problems
analyse cultural trends,examine cultural trends|analysing cultural trends|evaluate cultural trends|study cultural trends|analyze cultural trends|analyse cultural trend|review cultural trends|analyse trends in culture
assess cage water quality,cage water quality assessing|checking water quality in cage|cage water quality checking|check cage water quality|checking cage water quality|assessing water quality in cage|assessing cage water quality
understand the architecture of a live performance,observe the choreographic structure during a live performance|understand a live performance's architecture|understand the architecture of a performance that is live|understand the structure of a live performance
apply electrolytes to cathodes and anodes,implement electrolytes to cathodes and anodes|operate electrolytes to cathodes and anodes|administer electrolyte solution to cathodes and anodes|implement electrolyte solution to cathodes and anodes|use electrolyte solution to cathodes and anodes|use electrolytes to cathodes and anodes|operate electrolyte solution to cathodes and anodes|administer electrolytes to cathodes and anodes
hair cutting techniques,haircut techniques|hair cutting procedures|hair cutting approaches|hair cutting methods|haircut technique|hair cutting technique
manage claim files,handle claim files|manage claim file|oversee claim files|perform management of claim files|m41
rescue animals,ensure animals in threatening situations are rescued|rescue animals from threatening situations|carry out animal rescues to protect animal welfare|extricate animals from dangerous situations|extricate animals from threatening situation|recover animals from threatening situations|conduct animal rescue activities|perform animal rescues|remove animals from situations that threaten their welfare|recover animals from dangerous situations|rescue animals from dangerous situations
guide ships into docks,control movement of vessels into docks|manoeuvre vessels into docks|safely move ships into docks|safely move vessels into docks|guide vessels into docks|steer ships into docks|control movement of ships into docks|safely dock ships|safely dock vessels|steer vessel into docks|manoeuvre ships into docks
criminology,investigation of law breaking behaviour|investigation of criminal behaviour|research into criminal behaviour|study of criminal behaviour|research into law breaking behaviour|study of law breaking behaviour
information structure,data structuring methods|types of data infrastructure|data infrastructure
climate smart agriculture,climate smart farming|climate resilient agriculture
test materials,analyse materials|material test|examine materials|check materials|evaluate materials|material tests|material testing|assess materials
update message displays,conduct activities to display updated information on message systems|perform activities to display updated information on message systems|amend message displays|revise passenger information displays|update passenger information displays|create updates presented on passenger information displays|update messages presented on passenger information displays|amend passenger information displays|revise message displays
operate a forecourt site,forecourt site operation|perform a forecourt site|undertake a forecourt site|operate forecourt sites|operating a forecourt site|conduct a forecourt site|run a forecourt site
unload cargo,unpack cargo|unloading cargo|take cargo out of vehicle
photogrammetry,photographic surveying
communicate gambling rules,communicate rules of the house|list the game rules|explain rules and regulations|communicate house rules
control train departures,prepare outbound trains|control outbound trains|supervise departure of outbound trains|oversee train departure processes|manage departure of trains|control departure of outbound trains|control departure of trains|manage train departures|monitor departure of trains|prepare train departures|monitor train departures
manipulate dental material,handle dental materials|shape dental materials|manipulate material for teeth|form dental material|work with dental materials|form dental materials
forensic pathology,legal procedures to determine cause of death in criminal cases|legal procedures of forensic pathology|procedures and techniques of forensic pathology
manage temporary ict networks for live performance,manage dmx for performing art|manage rdm for performing art|manage midi for performing art|coordinate live performance technology|manage timecode control signals for performing art
techniques of blood-sampling,techniques of blood sampling|blood-sampling techniques|methods of blood-sampling|blood sampling techniques|blood-sampling methods
hygiene in a health care setting,hygienic environment in healthcare|hospital hygiene|hygiene in healthcare setting|hygiene procedures in hospitals or clinics
design beer recipes,design a beer recipe|arrange beer recipes|design beer recipe|model beer recipes|design of a beer recipe|develop beer recipes|produce a beer recipe
finish plastic products,complete plastic products|finalise plastic products|plastic product finishing|finishing plastic products|conclude plastic products|finish a plastic product
keep up with digital transformation of industrial processes,keep up with digital transformation of industry|follow digital transformation of industry|keep pace with digital transformation of industrial processes|follow digital transformation of industrial processes|keep up to date with digital transformation of industrial processes
advise others,mentor others|mentor individuals|counsel others|counselling|offer suggestions to others|guide others|make recommendations to others|give advice|advise customers|give constructive feedback|giving advice to others|advise colleagues|provide advisory services
perform manual spiral binding,perform manual spiral bindings|manually perform spiral binding|performing manual spiral binding|carry out manual spiral binding
place orders for orthopedic products,calculate orders for orthopaedic products|arrange orders for orthopaedic products|place order for an orthopaedic product|place an order for orthopaedic products|estimate orders for orthopaedic products|placing orders for orthopaedic products|send orders for orthopaedic products
interact verbally in bosnian,speak bosnian|communicate verbally in bosnian|verbally interact in bosnian
emboss designs,emboss design|imprint designs|stamp designs|embossing designs|add designs
monitor flour unloading equipment,monitor operation of flour unloading equipment|carry out flour unloading equipment monitoring activities|perform flour processing systems monitoring activities|monitor flour unloading apparatus|conduct flour unloading equipment monitoring|perform flour unloading equipment monitoring|monitor equipment used to unload flour|oversee equipment used to unload flour|oversee flour unloading equipment|undertake monitoring of flour processing systems|carry out monitoring of flour processing systems
maintain statutory books,keep up statutory books|maintain statutory book|maintaining statutory books|oversee statutory books|keep statutory books updated|maintain books of statutes
wash the laundry,do the laundry|washing the laundry|wash laundry
organise homecare for patients,make home-care arrangements for patients|organise home-care for patients|organize home-care for patients|arrange home-care for patients|organise homecare for a patient|make homecare arrangements for patients|arrange homecare for patients
load cargo,loading cargo|pack cargo|fill up cargo vehicle
deliver case notes,deliver a case note|hand over a case note|hand over a case summary|deliver case-notes|pass on case notes
check quality of enamel,audit quality of enamel|check enamel's quality|check quality of enamel parts|control quality of enamel|quality check the enamel process|review quality of enamel|test surface coating standards
monasticism,spiritual lifestyle|living as a hermit|living as a nun|living as a monk|religious lifestyle|hermit lifestyle
understand written latvian,make sense of written latvian|comprehend written latvian|understand latvian writing|interpret written latvian|read latvian
respond to changing situations in health care,cope with changing situations in health care|respond to changing healthcare situations|react to changing situations in healthcare|react to changing situations in health care|respond to changing health care situations|respond to changing situations in health-care|cope with changing situations in healthcare
write finnish,correspond in written finnish|show competency in written finnish
tend drying equipment,watch drying equipment|look after drying equipment|tend of drying equipment|mind drying equipment|take care of drying equipment
